# Assembly Part List incl. Component Properties
#
# Date = 2020/06/05 10:01:49
# Job Name =C:\CAx\Prj\ZUKEN\41538289_AB_ADC418AI12\job\PNL\Panel01\Panel.mdgn
# Units = millimeters
# Decimal Digits =3
#
# PCB/PNL Type;Offset-X;Offset-Y;Rotation
#
# NA;0.000;0.000;0.000
# board1;0.000;0.000;0.000
#
#
# Reference;Part_Name;Value;Tolerance;Pos_Tolerance;Neg_Tolerance;Geometry;Rated_Voltage;Technology;Placement_Side;Rotation;Position-X;Positon-Y;Pin_Count;Component_Height_on_Placement_Side;Part_Families;Mounting_Type;Footprint_Specification;Package_Type;Function_Code;EMC_Code;Board# on Panel;Part_Name_SV;Part_Name_CAS;Exclude_from_SAP_BOM;Multipitch_Pair;
C11013;A2C02436300;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;154.300;10.375;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;board1;A2C0243630000;A2C0243630000;NA;NA;
C11014;A2C02319000;10n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;164.650;19.975;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;board1;A2C0231900000;A2C0231900000;NA;NA;
C11016;A2C40002639;1n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;175.750;17.450;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;board1;A2C4000263900;A2C4000263900;NA;NA;
C11019;A2C02436300;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;157.300;13.000;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;board1;A2C0243630000;A2C0243630000;NA;NA;
C11023;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;180.750;29.900;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C11024;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;180.750;33.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C11025;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;162.075;33.200;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C11026;A2C02319200;470n;NA;10%;10%;0805_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;172.850;32.850;2;1.300;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;board1;A2C0231920000;A2C0231920000;NA;NA;
C11027;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;162.075;29.900;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C11028;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;175.800;32.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C11029;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;162.075;26.600;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;PS_KL30_FILTER;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C11030;A2C02318700;47n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;174.450;32.850;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_KL30_FILTER;NO;board1;A2C0231870000;A2C0231870000;NA;NA;
C11031;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;180.000;167.850;24.250;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_INH_SHDN;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C11032;A2C02436300;220n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;270.000;160.150;12.400;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_RVP_LM74810_01;NO;board1;A2C0243630000;A2C0243630000;NA;NA;
C12006;A2C40016700;22n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;172.950;15.350;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_UV_DET_NCV33161_1;NO;board1;A2C4001670000;A2C4001670000;NA;NA;
C12015;A2C40002639;1n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;173.600;27.000;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;PS_ISENSE_INA302_1;NO;board1;A2C4000263900;A2C4000263900;NA;NA;
C12017;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;0.000;175.175;20.500;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;PS_UV_DET_NCV33161_1;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C12028;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;165.175;72.175;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C12030;A2C03176600;10n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;165.600;47.125;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0317660000;A2C0317660000;NA;NA;
C12031;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;174.700;48.130;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C12032;A2C03118800;100n;NA;10%;10%;0402_06_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;161.400;51.450;2;0.600;Capacitor Ceramic;UNDEF;ReflowReflow;UNDEF;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0311880000;A2C0311880000;NA;NA;
C12033;A2C03588400;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;A_SIDE;180.000;177.400;50.700;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0358840000;A2C0358840000;NA;NA;
C12034;A2C02318800;100n;NA;10%;10%;0603_m01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;0.000;172.500;43.000;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0231880000;A2C0231880000;NA;NA;
C12037;A2C04286300;10u;NA;10%;10%;1210_h2700_c01a;50V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;168.100;66.250;2;2.700;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0428630000;A2C0428630000;NA;NA;
C12038;A2C00216100;2.7m;NA;20%;20%;ecr18h22_hold_ecr16h22_hold_s01a;35V;SBU08_RR_SM075_Cu35;A_SIDE;90.000;173.000;63.250;2;22.000;Capacitor Electrolytic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0021610000;A2C0021610000;NA;NA;
C12050;A2C03588400;100n;NA;10%;10%;0603_m01a;100V;SBU08_RR_SM075_Cu35;B_SIDE;90.000;169.900;45.400;2;0.950;Capacitor Ceramic;SURFACE;ReflowReflow;SMD_OTHER;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C0358840000;A2C0358840000;NA;NA;
C12059;A2C40006643;220n;NA;5%;5%;0805_145_m01a;25V;SBU08_RR_SM075_Cu35;B_SIDE;270.000;165.175;62.300;2;1.450;Capacitor Ceramic;SURFACE;ReflowReflow;CHIP;IPC_DROPBUFFER_20MS_15A;NO;board1;A2C4000664300;A2C4000664300;NA;NA;
