Creation date of BOM:;26/08/2021 12:42:46;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Design name:;ADC418AI12;;;;;;;;;;;;;;;;;;;;
Destination name:;ADC418AI12_DDR8Gb;;;;;;;;;;;;;;;;;;;;
Schematic Doc No.:;A2.C775-6410.7_PCB_BA0_AA_SCMVA;;;;;;;;;;;;;;;;;;;;
Reference;CompID;ReusedComp;ECDM Nomenclature;Value;tolerance;ud_PosTolerance;ud_NegTolerance;Part Name;Part Number NPP;Part Number CSE;Part Number Global;packageName;Variation;VariationItem;Module name;Module reference;Module;Module mode;Module number;Function Code;Component Group
C41002; .cmp1128;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41003; .cmp1386;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41004; .cmp1171;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41005; .cmp1391;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41006; .cmp1234;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41007; .cmp1292;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41008; .cmp1278;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41009; .cmp1280;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41010; .cmp1295;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41011; .cmp1207;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41012; .cmp1247;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41013; .cmp1194;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41014; .cmp1214;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41015; .cmp1221;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41016; .cmp1131;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41017; .cmp1228;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41018; .cmp1245;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41019; .cmp1617;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41020; .cmp1369;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41021; .cmp1363;;C CER,X7S,0.000010 F,10%,6.3 V,EC_0805,,SOFT TERMINATION,SMD;10u;;10%;10%;AAA2207520000;AAA2207520000;AAA2207520000;AAA2207520000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41022; .cmp1133;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41023; .cmp1188;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41024; .cmp1205;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41025; .cmp1271;;C CER,X7R,470nF,10%,50V,0805,-,STANDARD,SMD SOLDERING;470n;;10%;10%;A2C02319200;A2C0231920000;A2C0231920000;A2C0231920000;0805_m01a;;;;;;;;IC_SUC_S32G275A;
C41026; .cmp1335;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41027; .cmp1355;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41028; .cmp1714;;C CER,X7R,4.7uF,10%,16V,0805,-,STANDARD,SMD SOLDERING;4.7u;;10%;10%;A2C03169500;A2C0316950000;A2C0316950000;A2C0316950000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41029; .cmp1222;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41030; .cmp1243;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41031; .cmp1330;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41032; .cmp1360;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41033; .cmp1408;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41034; .cmp1721;;C CER,X7S,2.2uF,10%,6.3V,0603,Sn,STANDARD,SMD SOLDERING;2.2u;;10%;10%;A2C01369500;A2C0136950000;A2C0136950000;A2C0136950000;0603_m01a;;;;;;;;IC_SUC_S32G275A;
C41035; .cmp1232;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41036; .cmp1148;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41037; .cmp1219;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41038; .cmp1206;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41039; .cmp1179;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41040; .cmp1756;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41041; .cmp1356;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41042; .cmp1197;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41043; .cmp1238;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41044; .cmp1350;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41045; .cmp1305;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41046; .cmp1342;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41047; .cmp1404;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41048; .cmp1416;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41049; .cmp1167;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41050; .cmp1178;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41051; .cmp1371;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41052; .cmp2076;;C CER,C0G,47pF,5%,50V,0402,-,STANDARD;47p;;5%;5%;A2C01802500;A2C0180250000;A2C0180250000;A2C0180250000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41053; .cmp1468;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41054; .cmp1558;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41055; .cmp1223;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41056; .cmp1284;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41057; .cmp1478;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41058; .cmp1528;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41059; .cmp1492;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41060; .cmp1521;;C CER,C0G,10pF,0.1pF,50V,0603,-,STANDARD,SMD SOLDERING;10p;;0.1pF;0.1pF;A2C03267200;A2C0326720000;A2C0326720000;A2C0326720000;0603_m01a;;;;;;;;IC_SUC_S32G275A;
C41061; .cmp1523;;C CER,C0G,10pF,0.1pF,50V,0603,-,STANDARD,SMD SOLDERING;10p;;0.1pF;0.1pF;A2C03267200;A2C0326720000;A2C0326720000;A2C0326720000;0603_m01a;;;;;;;;IC_SUC_S32G275A;
C41062; .cmp1367;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41063; .cmp1154;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41064; .cmp1204;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41065; .cmp1158;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41066; .cmp1348;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41067; .cmp1296;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41068; .cmp1395;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41069; .cmp1136;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41070; .cmp1610;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41071; .cmp1202;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41072; .cmp1156;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41073; .cmp1192;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41074; .cmp1613;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41075; .cmp1254;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41076; .cmp1316;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41077; .cmp1614;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41078; .cmp1456;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;MEM_SDRAM_LPDDR4_512MByte;
C41079; .cmp1237;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41080; .cmp1209;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41081; .cmp1180;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41082; .cmp1618;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41083; .cmp1319;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41084; .cmp1340;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41085; .cmp1398;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41086; .cmp1381;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41087; .cmp1173;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41088; .cmp1150;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41089; .cmp1388;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41090; .cmp1418;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41091; .cmp1410;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41092; .cmp1306;;C CER,X7S,1uF,10%,10V,0402,-,STANDARD,SMD SOLDERING;1u;;10%;10%;A2C02602100;A2C0260210000;A2C0260210000;A2C0260210000;chip_0402_b1200x0700_h0700_c01a;;;;;;;;IC_SUC_S32G275A;
C41093; .cmp1231;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41094; .cmp1269;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41095; .cmp1457;;C CER,X7R,220nF,10%,16V,0402,-,STANDARD;220n;;10%;10%;A2C02374200;A2C0237420000;A2C0237420000;A2C0237420000;0402_06_m01a;;;;;;;;MEM_SDRAM_LPDDR4_512MByte;
C41096; .cmp1117;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41097; .cmp1132;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41098; .cmp1230;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41099; .cmp1177;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41100; .cmp1289;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41101; .cmp1417;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41102; .cmp1277;;C CER,X7R,1nF,10%,25V,0201,Sn,STANDARD;1n;;10%;10%;A2C01398800;A2C0139880000;A2C0139880000;A2C0139880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41103; .cmp1220;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41104; .cmp1115;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41105; .cmp1459;;C CER,X7R,220nF,10%,16V,0402,-,STANDARD;220n;;10%;10%;A2C02374200;A2C0237420000;A2C0237420000;A2C0237420000;0402_06_m01a;;;;;;;;MEM_SDRAM_LPDDR4_512MByte;
C41106; .cmp1310;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41107; .cmp1365;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41108; .cmp1112;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
C41109; .cmp1067;;C CER,X7R,100nF,10%,16V,0402,-,SOFT TERMINATION;100n;;10%;10%;A2C01479600;A2C0147960000;A2C0147960000;A2C0147960000;0402_06_m01a;;;;;;;;DI_PUSHPULL_AND3X3_01;
C41110; .cmp1175;;C CER,X7R,100nF,10%,16V,0402,-,STANDARD;100n;;10%;10%;A2C02317700;A2C0231770000;A2C0231770000;A2C0231770000;0402_06_m01a;;;;;;;;IC_SUC_S32G275A;
C41111; .cmp1255;;C CER,X7S,0.00001 F,10%,6.3 V,EC_0805,SN,STANDARD,SMD SOLDER;10u;;10%;10%;A2C03945100;A2C0394510000;A2C0394510000;A2C0394510000;0805_145_m01a;;;;;;;;IC_SUC_S32G275A;
C41112; .cmp1302;;C CER,X7R,10nF,10%,10V,0201,-,STANDARD,SMD SOLDERING;10n;;10%;10%;A2C03138800;A2C0313880000;A2C0313880000;A2C0313880000;chip_0201_h0300_c01a;;;;;;;;IC_SUC_S32G275A;
